method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
gleam-gt-depth,40,3,0.526084,0.041875,0.115477,0.075749,0.102517,0.024179
gleam-gt-depth,41,3,0.526312,0.042181,0.120539,0.082589,0.103161,0.023280
gleam-gt-depth,42,3,0.526406,0.042307,0.120099,0.081992,0.100528,0.026959
gleam-gt-depth,43,3,0.526639,0.042619,0.116910,0.077680,0.100609,0.026846
gleam-gt-depth,44,3,0.526641,0.042623,0.113677,0.073332,0.102374,0.024378
gleam-gt-depth,45,3,0.526859,0.042916,0.119620,0.081344,0.103187,0.023244
gleam-gt-depth,46,3,0.528980,0.045779,0.108664,0.066648,0.100346,0.027215
gleam-gt-depth,47,3,0.530972,0.048481,0.113567,0.073184,0.102091,0.024774
gleam-gt-depth,48,3,0.531480,0.049173,0.115577,0.075883,0.101437,0.025688
gleam-gt-depth,49,3,0.531929,0.049785,0.116666,0.077350,0.100516,0.026977
gleam-gt-depth,50,3,0.535535,0.054717,0.112192,0.071343,0.100214,0.027399
gleam-gt-depth,51,3,0.536403,0.055910,0.108596,0.066558,0.101784,0.025202
gleam-gt-depth,52,3,0.536603,0.056183,0.109370,0.067584,0.102838,0.023731
gleam-gt-depth,53,3,0.536636,0.056229,0.112066,0.071174,0.102880,0.023673
gleam-gt-depth,54,3,0.536677,0.056286,0.115466,0.075734,0.103852,0.022318
gleam-gt-depth,55,3,0.537010,0.056744,0.122250,0.084914,0.102739,0.023869
gleam-gt-depth,56,3,0.537174,0.056969,0.111749,0.070752,0.102983,0.023529
gleam-gt-depth,57,3,0.537418,0.057305,0.113935,0.073678,0.104453,0.021481
gleam-gt-depth,58,3,0.537517,0.057440,0.115853,0.076254,0.104144,0.021911
gleam-gt-depth,59,3,0.537692,0.057681,0.115762,0.076132,0.105332,0.020260
gleam-gt-depth,60,3,0.538659,0.059013,0.114490,0.074423,0.103974,0.022148
gleam-gt-depth,61,3,0.538714,0.059089,0.114853,0.074910,0.104585,0.021298
gleam-gt-depth,62,3,0.538743,0.059129,0.119526,0.081216,0.105405,0.020158
gleam-gt-depth,63,3,0.538743,0.059129,0.125060,0.088741,0.105028,0.020682
gleam-gt-depth,64,3,0.538743,0.059129,0.119704,0.081457,0.104756,0.021059
gleam-gt-depth,65,3,0.538783,0.059185,0.118217,0.079445,0.103573,0.022707
gleam-gt-depth,66,3,0.538783,0.059185,0.113587,0.073210,0.102334,0.024435
gleam-gt-depth,67,3,0.538887,0.059327,0.117453,0.078412,0.101973,0.024939
gleam-gt-depth,68,3,0.538896,0.059341,0.113848,0.073560,0.101368,0.025784
gleam-gt-depth,69,3,0.539311,0.059913,0.114483,0.074412,0.100174,0.027455
gleam-gt-depth,70,3,0.539311,0.059913,0.115346,0.075573,0.099294,0.028688
gleam-gt-depth,71,3,0.539438,0.060088,0.122481,0.085227,0.099251,0.028748
gleam-gt-depth,72,3,0.539438,0.060088,0.118042,0.079208,0.098923,0.029208
gleam-gt-depth,73,3,0.539438,0.060088,0.118079,0.079258,0.098418,0.029915
gleam-gt-depth,74,3,0.539438,0.060088,0.117454,0.078414,0.097935,0.030593
gleam-gt-depth,75,3,0.539438,0.060088,0.119425,0.081079,0.097917,0.030619
gleam-gt-depth,76,3,0.539438,0.060088,0.119255,0.080849,0.097532,0.031159
gleam-gt-depth,77,3,0.539438,0.060088,0.118122,0.079316,0.097334,0.031437
gleam-gt-depth,78,3,0.539438,0.060088,0.117903,0.079020,0.096783,0.032210
gleam-gt-depth,79,3,0.539438,0.060088,0.119120,0.080666,0.096931,0.032001
gleam-gt-depth,80,3,0.539438,0.060088,0.118497,0.079823,0.096631,0.032423
random,1,3,0.087883,0.022475,0.464716,0.274133,0.085887,0.056685
random,2,3,0.138425,0.036679,0.253657,0.161383,0.018228,0.004206
random,3,3,0.193660,0.033190,0.163309,0.092891,0.131070,0.119288
random,4,3,0.238878,0.056255,0.133589,0.085007,0.072873,0.076124
random,5,3,0.291426,0.066921,0.128846,0.085692,0.052127,0.047449
random,6,3,0.318900,0.081566,0.101434,0.046331,0.049927,0.029272
random,7,3,0.352829,0.077811,0.095307,0.042317,0.040686,0.030634
random,8,3,0.378215,0.056016,0.089658,0.042454,0.037187,0.028813
random,9,3,0.408887,0.035539,0.077930,0.057221,0.037967,0.029337
random,10,3,0.430463,0.036134,0.126517,0.100904,0.033899,0.024264
random,11,3,0.444100,0.031136,0.130026,0.108992,0.036792,0.024342
random,12,3,0.448491,0.032575,0.098080,0.072900,0.033723,0.014015
random,13,3,0.463861,0.029004,0.101681,0.062118,0.027965,0.010217
random,14,3,0.470429,0.025880,0.078520,0.030586,0.026023,0.012041
random,15,3,0.482186,0.023461,0.072723,0.025227,0.029109,0.013203
random,16,3,0.494678,0.020917,0.066817,0.020854,0.030266,0.013462
random,17,3,0.507742,0.034171,0.066547,0.022650,0.036941,0.019155
random,18,3,0.516761,0.032397,0.064459,0.020093,0.033198,0.016575
random,19,3,0.537246,0.030426,0.063452,0.029045,0.036864,0.018699
random,20,3,0.542889,0.033916,0.057754,0.026874,0.034687,0.016302
random,21,3,0.551867,0.039197,0.060332,0.031722,0.032940,0.016294
random,22,3,0.560988,0.029073,0.051224,0.019646,0.033652,0.013398
random,23,3,0.569664,0.021621,0.051299,0.018668,0.033400,0.011226
random,24,3,0.573426,0.017386,0.056693,0.022363,0.030994,0.011637
random,25,3,0.574330,0.018019,0.052958,0.020124,0.032050,0.011235
random,26,3,0.576130,0.018170,0.052089,0.020224,0.032974,0.011349
random,27,3,0.578414,0.016970,0.055044,0.023491,0.031568,0.011577
random,28,3,0.589527,0.008002,0.053659,0.020451,0.035114,0.009605
random,29,3,0.598049,0.017019,0.052665,0.019873,0.040226,0.014935
random,30,3,0.600153,0.015227,0.054920,0.021959,0.040418,0.016315
random,31,3,0.601557,0.014404,0.066688,0.039372,0.037532,0.013316
random,32,3,0.609546,0.010937,0.058373,0.026061,0.036362,0.010687
random,33,3,0.618396,0.002863,0.051160,0.016819,0.035919,0.011457
random,34,3,0.620616,0.003181,0.048918,0.015086,0.035210,0.010878
random,35,3,0.621974,0.003925,0.048774,0.013596,0.035187,0.009569
random,36,3,0.627115,0.002198,0.048885,0.014866,0.034850,0.009428
random,37,3,0.627735,0.001936,0.048521,0.014174,0.034820,0.010070
random,38,3,0.629558,0.003184,0.043912,0.008889,0.035136,0.011568
random,39,3,0.632243,0.001449,0.047237,0.009061,0.034905,0.011555
random,40,3,0.632691,0.001541,0.045960,0.008121,0.034821,0.012187
random,41,3,0.634459,0.003562,0.046888,0.009141,0.034568,0.011168
random,42,3,0.636146,0.005364,0.045479,0.008104,0.033738,0.010143
