method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
active-gs-pred-depth,41,18,0.582218,0.266202,0.517230,0.328978,0.248087,0.125774
active-gs-pred-depth,42,18,0.582319,0.266282,0.517699,0.328640,0.246239,0.124853
active-gs-pred-depth,43,18,0.582407,0.266349,0.517133,0.329196,0.245843,0.124296
active-gs-pred-depth,44,18,0.582568,0.266477,0.516453,0.329289,0.244626,0.124649
active-gs-pred-depth,45,18,0.582717,0.266598,0.515232,0.329975,0.245077,0.124820
active-gs-pred-depth,46,18,0.582771,0.266640,0.515550,0.329945,0.242220,0.123874
active-gs-pred-depth,47,18,0.583075,0.266876,0.516245,0.329808,0.241219,0.123729
active-gs-pred-depth,48,18,0.583106,0.266900,0.514722,0.330396,0.241926,0.123893
active-gs-pred-depth,49,18,0.583161,0.266943,0.513285,0.330955,0.242073,0.123886
active-gs-pred-depth,50,18,0.583416,0.267139,0.513790,0.330726,0.241663,0.123704
active-gs-pred-depth,51,18,0.583437,0.267155,0.513312,0.330942,0.242216,0.123955
active-gs-pred-depth,52,18,0.583442,0.267160,0.513971,0.330647,0.241900,0.123807
active-gs-pred-depth,53,18,0.583444,0.267161,0.514000,0.330635,0.241247,0.123543
active-gs-pred-depth,54,18,0.583541,0.267237,0.514176,0.330560,0.240508,0.123316
active-gs-pred-depth,55,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,56,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,57,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,58,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,59,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,60,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,61,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,62,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,63,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,64,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,65,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,66,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,67,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,68,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,69,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,70,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,71,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,72,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,73,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,74,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,75,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,76,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,77,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,78,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,79,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
active-gs-pred-depth,80,18,0.583562,0.267254,0.514252,0.330528,0.240326,0.123271
gleam-gt-depth,1,18,0.085075,0.029507,0.686571,0.270984,0.259220,0.217833
gleam-gt-depth,2,18,0.175604,0.036456,0.469623,0.169718,0.109531,0.083054
gleam-gt-depth,3,18,0.254627,0.049891,0.468700,0.054214,0.092009,0.138581
gleam-gt-depth,4,18,0.341085,0.028764,0.464520,0.044505,0.105802,0.109990
gleam-gt-depth,5,18,0.359618,0.033496,0.254858,0.099517,0.130513,0.114707
gleam-gt-depth,6,18,0.374109,0.040713,0.206646,0.119279,0.134410,0.115255
gleam-gt-depth,7,18,0.392270,0.047176,0.226252,0.120016,0.117374,0.117998
gleam-gt-depth,8,18,0.418149,0.049393,0.217789,0.118319,0.159636,0.177206
gleam-gt-depth,9,18,0.423679,0.046825,0.191984,0.108269,0.141774,0.143770
gleam-gt-depth,10,18,0.434068,0.036444,0.185175,0.116569,0.154086,0.218383
gleam-gt-depth,11,18,0.444426,0.032691,0.176998,0.107324,0.162255,0.244415
gleam-gt-depth,12,18,0.449054,0.032616,0.176735,0.103747,0.163945,0.271116
gleam-gt-depth,13,18,0.453452,0.033138,0.169409,0.110266,0.149314,0.254294
gleam-gt-depth,14,18,0.460784,0.036757,0.167260,0.108870,0.145701,0.255272
gleam-gt-depth,15,18,0.466022,0.038253,0.165527,0.108775,0.146373,0.256336
gleam-gt-depth,16,18,0.469286,0.040288,0.167742,0.110115,0.145675,0.257444
gleam-gt-depth,17,18,0.469950,0.040480,0.169330,0.105912,0.141829,0.257039
gleam-gt-depth,18,18,0.470379,0.040676,0.169128,0.105485,0.139839,0.257649
gleam-gt-depth,19,18,0.472299,0.042086,0.171743,0.102093,0.138357,0.256650
gleam-gt-depth,20,18,0.473689,0.044720,0.171710,0.102561,0.136581,0.256348
gleam-gt-depth,21,18,0.473972,0.045311,0.174131,0.100247,0.134925,0.256090
gleam-gt-depth,22,18,0.474623,0.046565,0.173999,0.099819,0.132527,0.255733
gleam-gt-depth,23,18,0.477302,0.049366,0.171910,0.099982,0.133155,0.255337
gleam-gt-depth,24,18,0.477469,0.049435,0.171680,0.099330,0.132249,0.255248
gleam-gt-depth,25,18,0.478462,0.051918,0.177485,0.097943,0.130892,0.255285
gleam-gt-depth,26,18,0.478495,0.051926,0.178577,0.098165,0.129826,0.255415
gleam-gt-depth,27,18,0.480165,0.052765,0.176893,0.097620,0.128425,0.255267
gleam-gt-depth,28,18,0.481159,0.054277,0.175229,0.098091,0.128559,0.255115
gleam-gt-depth,29,18,0.481853,0.054673,0.180623,0.096316,0.128218,0.254966
gleam-gt-depth,30,18,0.481877,0.054689,0.179963,0.096107,0.128538,0.254847
gleam-gt-depth,31,18,0.482206,0.054930,0.179564,0.096017,0.128334,0.254926
gleam-gt-depth,32,18,0.482521,0.055190,0.180029,0.096215,0.128692,0.254795
gleam-gt-depth,33,18,0.483105,0.055750,0.181054,0.096682,0.129252,0.254604
gleam-gt-depth,34,18,0.485063,0.058317,0.179483,0.096063,0.128765,0.254775
gleam-gt-depth,35,18,0.485192,0.058521,0.178584,0.095889,0.128576,0.254844
gleam-gt-depth,36,18,0.485224,0.058572,0.179369,0.096336,0.128934,0.254721
gleam-gt-depth,37,18,0.485805,0.059996,0.179578,0.096477,0.128998,0.254695
gleam-gt-depth,38,18,0.485998,0.060433,0.178825,0.096323,0.129473,0.254547
gleam-gt-depth,39,18,0.486296,0.061123,0.177281,0.096198,0.130247,0.254330
gleam-gt-depth,40,18,0.486464,0.061548,0.177584,0.096420,0.130385,0.254298
gleam-gt-depth,41,18,0.486790,0.062364,0.177315,0.097280,0.130536,0.254252
gleam-gt-depth,42,18,0.487306,0.063732,0.177344,0.097189,0.130073,0.254373
gleam-gt-depth,43,18,0.487363,0.063840,0.176811,0.096919,0.130102,0.254362
gleam-gt-depth,44,18,0.487416,0.063984,0.176058,0.096800,0.130474,0.254251
gleam-gt-depth,45,18,0.487505,0.064182,0.176829,0.097371,0.130741,0.254158
gleam-gt-depth,46,18,0.487965,0.065022,0.174587,0.096907,0.130290,0.254267
gleam-gt-depth,47,18,0.488325,0.065636,0.175210,0.097277,0.130630,0.254170
gleam-gt-depth,48,18,0.488411,0.065779,0.175260,0.097606,0.130664,0.254134
gleam-gt-depth,49,18,0.488586,0.066175,0.175423,0.097701,0.130417,0.254215
gleam-gt-depth,50,18,0.489303,0.067533,0.173956,0.097953,0.130413,0.254208
gleam-gt-depth,51,18,0.489593,0.068182,0.172885,0.098184,0.130665,0.254144
gleam-gt-depth,52,18,0.489754,0.068584,0.173010,0.098220,0.130900,0.254075
gleam-gt-depth,53,18,0.489815,0.068744,0.173457,0.098359,0.130841,0.254102
gleam-gt-depth,54,18,0.490004,0.069251,0.173720,0.098864,0.130982,0.254073
gleam-gt-depth,55,18,0.490451,0.070427,0.174914,0.099411,0.130870,0.254085
gleam-gt-depth,56,18,0.490544,0.070659,0.172917,0.098801,0.130959,0.254054
gleam-gt-depth,57,18,0.490587,0.070738,0.173880,0.098374,0.131240,0.253981
gleam-gt-depth,58,18,0.490886,0.071557,0.174040,0.098654,0.131110,0.254027
gleam-gt-depth,59,18,0.491095,0.072115,0.174224,0.098468,0.131383,0.253951
gleam-gt-depth,60,18,0.491285,0.072481,0.173516,0.098834,0.131030,0.254056
gleam-gt-depth,61,18,0.491320,0.072568,0.173563,0.098872,0.131083,0.254056
gleam-gt-depth,62,18,0.491364,0.072689,0.174059,0.099535,0.131169,0.254049
gleam-gt-depth,63,18,0.491457,0.072952,0.174669,0.100447,0.131130,0.254052
gleam-gt-depth,64,18,0.491601,0.073364,0.174025,0.099617,0.131067,0.254069
gleam-gt-depth,65,18,0.491615,0.073394,0.173662,0.099601,0.130828,0.254132
gleam-gt-depth,66,18,0.491631,0.073440,0.172976,0.099161,0.130579,0.254201
gleam-gt-depth,67,18,0.491658,0.073499,0.173742,0.099323,0.130527,0.254212
gleam-gt-depth,68,18,0.491664,0.073513,0.173236,0.098959,0.130436,0.254233
gleam-gt-depth,69,18,0.491736,0.073646,0.173441,0.098906,0.130212,0.254297
gleam-gt-depth,70,18,0.491740,0.073655,0.173455,0.099095,0.130068,0.254336
gleam-gt-depth,71,18,0.491785,0.073760,0.174518,0.099864,0.130063,0.254337
gleam-gt-depth,72,18,0.491797,0.073795,0.173741,0.099475,0.130060,0.254329
gleam-gt-depth,73,18,0.491822,0.073868,0.173869,0.099354,0.129959,0.254361
gleam-gt-depth,74,18,0.491826,0.073880,0.173670,0.099397,0.129886,0.254381
gleam-gt-depth,75,18,0.491828,0.073886,0.173964,0.099606,0.129895,0.254377
gleam-gt-depth,76,18,0.491842,0.073924,0.174048,0.099476,0.129899,0.254365
gleam-gt-depth,77,18,0.491870,0.074006,0.173793,0.099442,0.129822,0.254395
gleam-gt-depth,78,18,0.491876,0.074021,0.173361,0.099838,0.129719,0.254427
gleam-gt-depth,79,18,0.491912,0.074126,0.173385,0.100143,0.129783,0.254402
gleam-gt-depth,80,18,0.491913,0.074130,0.173298,0.100068,0.129751,0.254410
random,1,18,0.086018,0.030832,0.582968,0.331063,0.095649,0.070289
random,2,18,0.135080,0.040333,0.379839,0.136714,0.119904,0.161843
random,3,18,0.194325,0.045523,0.238741,0.145238,0.148417,0.148045
random,4,18,0.230993,0.057966,0.199845,0.115235,0.073238,0.065317
random,5,18,0.281451,0.058270,0.191082,0.111775,0.060022,0.044617
random,6,18,0.313693,0.062729,0.167832,0.109722,0.058141,0.047615
random,7,18,0.336134,0.060280,0.142223,0.103014,0.055329,0.044343
random,8,18,0.356491,0.049026,0.134195,0.081395,0.047356,0.032741
random,9,18,0.388304,0.038572,0.103253,0.071463,0.045853,0.035343
random,10,18,0.407602,0.040185,0.125638,0.089697,0.037706,0.026133
random,11,18,0.426433,0.036427,0.114112,0.086940,0.042456,0.027807
random,12,18,0.433719,0.038118,0.099993,0.069291,0.040515,0.025469
random,13,18,0.454788,0.034269,0.099870,0.066207,0.036677,0.024900
random,14,18,0.467967,0.031001,0.092755,0.069253,0.036455,0.024058
random,15,18,0.482931,0.023728,0.086756,0.063607,0.033706,0.020575
random,16,18,0.499141,0.020983,0.083872,0.069762,0.031563,0.018466
random,17,18,0.511504,0.026564,0.086085,0.074126,0.033260,0.019214
random,18,18,0.521284,0.024578,0.082916,0.066548,0.030817,0.016491
random,19,18,0.530360,0.026377,0.081794,0.067430,0.031199,0.016928
random,20,18,0.538169,0.027252,0.077804,0.065806,0.029501,0.014097
random,21,18,0.546973,0.032558,0.081402,0.075648,0.029150,0.014622
random,22,18,0.554549,0.029780,0.069861,0.052536,0.029253,0.013905
random,23,18,0.559842,0.028511,0.065159,0.041534,0.026945,0.011337
random,24,18,0.564045,0.027396,0.070667,0.045041,0.025610,0.011295
random,25,18,0.567451,0.023075,0.071137,0.048309,0.026072,0.010627
random,26,18,0.570883,0.023045,0.072007,0.052477,0.026331,0.010341
random,27,18,0.574810,0.022331,0.066729,0.041641,0.025621,0.009446
random,28,18,0.582079,0.021523,0.067753,0.043855,0.027124,0.010639
random,29,18,0.587069,0.024528,0.069835,0.047714,0.028241,0.012320
random,30,18,0.591173,0.023029,0.068366,0.041218,0.028100,0.012404
random,31,18,0.594668,0.022700,0.068348,0.039845,0.027527,0.012151
random,32,18,0.598355,0.023532,0.066086,0.037953,0.027294,0.012681
random,33,18,0.607253,0.024673,0.060435,0.030634,0.027170,0.011476
random,34,18,0.610178,0.025496,0.059809,0.034064,0.028540,0.013551
random,35,18,0.613418,0.025613,0.058001,0.038875,0.027137,0.012426
random,36,18,0.616212,0.025750,0.055625,0.030459,0.026330,0.011453
random,37,18,0.617550,0.026396,0.053770,0.025025,0.025334,0.011367
random,38,18,0.623065,0.024221,0.051935,0.023649,0.025536,0.012278
random,39,18,0.625400,0.024801,0.049981,0.018850,0.024975,0.012125
random,40,18,0.626484,0.025218,0.049392,0.017624,0.024878,0.012728
random,41,18,0.628386,0.024214,0.047746,0.014693,0.025271,0.013180
random,42,18,0.630482,0.025281,0.047789,0.015025,0.024602,0.013111
random,43,18,0.631711,0.025906,0.047339,0.014404,0.024716,0.013420
random,44,18,0.633463,0.026122,0.046591,0.013226,0.024604,0.013194
random,45,18,0.634724,0.026655,0.046704,0.013141,0.024632,0.013494
random,46,18,0.635775,0.026463,0.047072,0.012674,0.024367,0.013225
random,47,18,0.637167,0.027295,0.048346,0.015342,0.024015,0.013148
random,48,18,0.638088,0.027678,0.046638,0.013632,0.024204,0.012980
random,49,18,0.638502,0.027797,0.046306,0.013573,0.024459,0.012903
random,50,18,0.639058,0.028026,0.046164,0.014263,0.024265,0.012744
random,51,18,0.639802,0.027907,0.046776,0.018839,0.024367,0.012495
random,52,18,0.640262,0.027655,0.044395,0.010733,0.024678,0.012599
random,53,18,0.640597,0.027935,0.043190,0.007666,0.024741,0.012530
random,54,18,0.640837,0.028064,0.044955,0.014324,0.024944,0.012449
random,55,18,0.640951,0.028107,0.045366,0.016013,0.024884,0.012453
random,56,18,0.641249,0.028007,0.046002,0.018644,0.024897,0.012521
random,57,18,0.641438,0.028078,0.047968,0.026164,0.025023,0.012580
random,58,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,59,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,60,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,61,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,62,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,63,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,64,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,65,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,66,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,67,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,68,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,69,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,70,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,71,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,72,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,73,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,74,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,75,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,76,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,77,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,78,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,79,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
random,80,18,0.641445,0.028082,0.046029,0.018451,0.025054,0.012556
